Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Count,Block_Size,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
pcs,./pcs_sim,500,32,2,64,off,asynchronous,1000,32,10.9106,10000,5922128,0,77139,0,14474,4574,327664,77139,5924152,5844989,224
pcs,./pcs_sim,500,32,2,128,off,asynchronous,1000,32,12.437,10000,6503068,0,658079,0,177019,53827,4249387,658079,6599772,5844989,303
pcs,./pcs_sim,500,32,2,256,off,asynchronous,1000,32,14.5527,10000,7236733,0,1391744,0,460460,112215,10708669,1391744,7408016,5844989,316
pcs,./pcs_sim,500,64,2,32,off,asynchronous,1000,32,11.9406,10000,5880972,0,35983,0,9367,2337,199352,35983,5885906,5844989,223
pcs,./pcs_sim,500,64,2,64,off,asynchronous,1000,32,14.7587,10000,6591863,0,746874,0,196903,60502,4789755,746874,6689582,5844989,276
pcs,./pcs_sim,500,64,2,128,off,asynchronous,1000,32,22.9495,10000,8103707,0,2258718,0,586503,192715,15277734,2258718,8414114,5844989,353
pcs,./pcs_sim,500,16,4,32,off,asynchronous,1000,32,5.84127,10000,5876276,0,31287,0,11135,2433,238350,31287,5881185,5844989,279
pcs,./pcs_sim,500,16,4,64,off,asynchronous,1000,32,5.77947,10000,5878797,0,33808,0,11389,2214,235989,33808,5881215,5844989,289
pcs,./pcs_sim,500,16,4,128,off,asynchronous,1000,32,5.98243,10000,5895719,0,50730,0,18282,3074,380042,50730,5899977,5844989,305
pcs,./pcs_sim,500,16,4,256,off,asynchronous,1000,32,6.37647,10000,5915287,0,70298,0,30127,6688,633433,70298,5924863,5844989,301
pcs,./pcs_sim,500,32,4,32,off,asynchronous,1000,32,5.7801,10000,5863518,0,18529,0,6782,2295,163097,18529,5875134,5844989,287
pcs,./pcs_sim,500,32,4,64,off,asynchronous,1000,32,5.80948,10000,5914600,0,69611,0,12824,4771,291011,69611,5921506,5844989,281
pcs,./pcs_sim,500,32,4,128,off,asynchronous,1000,32,6.91214,10000,6196313,0,351324,0,89371,37892,2343488,351324,6280548,5844989,315
pcs,./pcs_sim,500,32,4,256,off,asynchronous,1000,32,10.9285,10000,7075100,0,1230111,0,420168,114196,9995483,1230111,7268975,5844989,331
pcs,./pcs_sim,500,64,4,32,off,asynchronous,1000,32,5.68612,10000,5869357,0,24368,0,9515,1469,191975,24368,5871759,5844989,273
pcs,./pcs_sim,500,64,4,64,off,asynchronous,1000,32,7.96929,10000,6434586,0,589597,0,149887,52710,3715896,589597,6530291,5844989,314
pcs,./pcs_sim,500,64,4,128,off,asynchronous,1000,32,12.0203,10000,7407299,0,1562310,0,479339,123294,11228467,1562310,7581317,5844989,325
pcs,./pcs_sim,500,64,4,256,off,asynchronous,1000,32,17.9297,10000,8291391,0,2446043,0,664149,194967,16775793,2446043,8648153,5845348,336
pcs,./pcs_sim,500,16,8,32,off,asynchronous,1000,32,5.16891,10000,6033151,0,188162,0,49038,16334,1215035,188162,6049102,5844989,341
pcs,./pcs_sim,500,16,8,64,off,asynchronous,1000,32,4.99481,10000,5941494,0,96505,0,28709,7570,629182,96505,5979744,5844989,340
pcs,./pcs_sim,500,16,8,128,off,asynchronous,1000,32,5.49085,10000,5965940,0,120951,0,39491,10199,887782,120951,5975717,5844989,340
