Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Static_Window_Size,Fraction_of_Total_Window,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Number_of_Partitions,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
pcs,./pcs_sim,500,32,0,0.25,asynchronous,1000,32,53.9562,10000,18,8224173,0,2379184,0,664730,195267,16939341,2379184,8485120,5844989,473
pcs,./pcs_sim,500,16,0,0.05,asynchronous,1000,32,20.8904,10000,18,8176772,0,2331783,0,659368,189217,16738941,2331783,8431811,5844989,390
pcs,./pcs_sim,500,32,0,0.05,asynchronous,1000,32,55.7399,10000,18,8199410,0,2354421,0,660378,189791,16748993,2354421,8446311,5844989,451
pcs,./pcs_sim,500,4,4,1.0,asynchronous,1000,32,32.9937,10000,18,8182791,0,2337802,0,659352,190222,16662753,2337802,8445020,5844989,355
pcs,./pcs_sim,500,8,4,1.0,asynchronous,1000,32,21.4928,10000,18,8174685,0,2329696,0,658496,189122,16636358,2329696,8425366,5844989,360
pcs,./pcs_sim,500,4,16,1.0,asynchronous,1000,32,35.2152,10000,18,8183375,0,2338386,0,658717,189703,16641246,2338386,8441101,5844989,353
pcs,./pcs_sim,500,8,16,1.0,asynchronous,1000,32,20.3206,10000,18,8195145,0,2350156,0,662303,192219,16743965,2350156,8454735,5844989,369
pcs,./pcs_sim,500,4,32,1.0,asynchronous,1000,32,34.0334,10000,18,8149652,0,2304663,0,654329,186211,16559500,2304663,8407129,5844989,350
pcs,./pcs_sim,500,8,32,1.0,asynchronous,1000,32,21.9307,10000,18,8171976,0,2326987,0,658196,188940,16683962,2326987,8424316,5844989,362
pcs,./pcs_sim,500,4,64,1.0,asynchronous,1000,32,34.9862,10000,18,8160911,0,2315922,0,655872,187302,16558433,2315922,8415879,5844989,355
pcs,./pcs_sim,500,8,64,1.0,asynchronous,1000,32,20.6222,10000,18,8153709,0,2308720,0,654021,185224,16443079,2308720,8398906,5844989,360
pcs,./pcs_sim,500,4,128,1.0,asynchronous,1000,32,32.9516,10000,18,8206215,0,2361226,0,661920,193545,16838306,2361226,8472625,5844989,357
pcs,./pcs_sim,500,8,128,1.0,asynchronous,1000,32,20.598,10000,18,8200546,0,2355557,0,660804,191847,16776312,2355557,8454488,5844989,368
pcs,./pcs_sim,500,4,256,1.0,asynchronous,1000,32,34.0444,10000,18,8195493,0,2350504,0,660795,191732,16712605,2350504,8455972,5844989,357
pcs,./pcs_sim,500,8,256,1.0,asynchronous,1000,32,20.8275,10000,18,8216354,0,2371365,0,664977,194926,16907881,2371365,8479639,5844989,370
pcs,./pcs_sim,500,16,4,1.0,asynchronous,1000,32,20.2251,10000,18,8187057,0,2342068,0,659445,190067,16752004,2342068,8433797,5844989,393
pcs,./pcs_sim,500,32,4,1.0,asynchronous,1000,32,53.7248,10000,18,8223192,0,2378203,0,664603,194342,16956406,2378203,8473077,5844989,472
pcs,./pcs_sim,500,16,16,1.0,asynchronous,1000,32,20.1909,10000,18,8169716,0,2324727,0,657398,188007,16596885,2324727,8417912,5844989,392
pcs,./pcs_sim,500,32,16,1.0,asynchronous,1000,32,57.0705,10000,18,8192900,0,2347911,0,659907,190771,16680504,2347911,8447651,5844989,492
pcs,./pcs_sim,500,16,32,1.0,asynchronous,1000,32,20.8748,10000,18,8184854,0,2339865,0,659776,189848,16682975,2339865,8442088,5844989,394
pcs,./pcs_sim,500,32,32,1.0,asynchronous,1000,32,64.2704,10000,18,8261931,0,2416942,0,670056,199207,17166889,2416942,8521828,5844989,476
pcs,./pcs_sim,500,16,64,1.0,asynchronous,1000,32,21.7901,10000,18,8180599,0,2335610,0,658733,188853,16635704,2335610,8431691,5844989,387
pcs,./pcs_sim,500,32,64,1.0,asynchronous,1000,32,54.2443,10000,18,8218923,0,2373934,0,664170,193605,16906018,2373934,8468347,5844989,458
pcs,./pcs_sim,500,16,128,1.0,asynchronous,1000,32,20.0477,10000,18,8180111,0,2335122,0,658709,188614,16682098,2335122,8430017,5844989,388
pcs,./pcs_sim,500,32,128,1.0,asynchronous,1000,32,62.246,10000,18,8203409,0,2358420,0,661529,191053,16795882,2358420,8448473,5844989,464
pcs,./pcs_sim,500,16,256,1.0,asynchronous,1000,32,22.2109,10000,18,8142278,0,2297289,0,654157,184125,16398232,2297289,8390595,5844989,389
pcs,./pcs_sim,500,32,256,1.0,asynchronous,1000,32,60.2378,10000,18,8220496,0,2375507,0,664614,194348,16890241,2375507,8472023,5844989,490
pcs,./pcs_sim,500,4,0,0.75,asynchronous,1000,32,33.3219,10000,18,8187375,0,2342386,0,659372,190988,16697467,2342386,8447438,5844989,358
pcs,./pcs_sim,500,8,0,0.75,asynchronous,1000,32,20.3534,10000,18,8198712,0,2353723,0,661477,191812,16798370,2353723,8456836,5844989,376
pcs,./pcs_sim,500,4,0,0.50,asynchronous,1000,32,34.1339,10000,18,8138421,0,2293432,0,652118,183746,16331077,2293432,8381408,5844989,342
pcs,./pcs_sim,500,8,0,0.50,asynchronous,1000,32,21.6539,10000,18,8160105,0,2315116,0,655010,186006,16526321,2315116,8404212,5844989,359
pcs,./pcs_sim,500,8,0,0.25,asynchronous,1000,32,20.9962,10000,18,8208383,0,2363394,0,662696,193236,16855825,2363394,8461284,5844989,372
pcs,./pcs_sim,500,4,0,0.05,asynchronous,1000,32,31.8143,10000,18,8163954,0,2318965,0,656648,187667,16540697,2318965,8420075,5844989,349
pcs,./pcs_sim,500,8,0,0.05,asynchronous,1000,32,20.5129,10000,18,8149014,0,2304025,0,654394,185267,16491456,2304025,8397974,5844989,356
pcs,./pcs_sim,500,16,0,0.75,asynchronous,1000,32,20.8353,10000,18,8194576,0,2349587,0,661745,191333,16857578,2349587,8452114,5844989,390
pcs,./pcs_sim,500,32,0,0.75,asynchronous,1000,32,52.8712,10000,18,8218414,0,2373425,0,663729,193452,16905161,2373425,8466679,5844989,450
pcs,./pcs_sim,500,16,0,0.50,asynchronous,1000,32,21.0775,10000,18,8165535,0,2320546,0,657159,186865,16632801,2320546,8416204,5844989,392
pcs,./pcs_sim,500,32,0,0.50,asynchronous,1000,32,61.8851,10000,18,8201978,0,2356989,0,662323,191924,16707741,2356989,8463347,5844989,446
pcs,./pcs_sim,500,16,0,0.25,asynchronous,1000,32,22.2339,10000,18,8217812,0,2372823,0,663956,194356,16972797,2372823,8472999,5844989,399
pcs,./pcs_sim,500,32,0,0.25,asynchronous,1000,32,57.7581,10000,18,8223221,0,2378232,0,665270,195740,16964996,2378232,8482117,5844989,451
pcs,./pcs_sim,500,16,0,0.05,asynchronous,1000,32,19.8545,10000,18,8159510,0,2314521,0,656399,186501,16622583,2314521,8405564,5844989,389
pcs,./pcs_sim,500,32,0,0.05,asynchronous,1000,32,56.9479,10000,18,8163681,0,2318692,0,656056,185987,16582663,2318692,8409822,5844989,445
pcs,./pcs_sim,500,4,0,0.25,asynchronous,1000,32,34.2126,10000,18,8158886,0,2313897,0,655847,187321,16581778,2313897,8416941,5844989,347
pcs,./pcs_sim,500,4,4,1.0,asynchronous,1000,32,34.271,10000,18,8136478,0,2291489,0,652302,183450,16372679,2291489,8383195,5844989,346
pcs,./pcs_sim,500,8,4,1.0,asynchronous,1000,32,20.2323,10000,18,8162321,0,2317332,0,656900,187360,16621139,2317332,8416367,5844989,367
pcs,./pcs_sim,500,4,16,1.0,asynchronous,1000,32,33.496,10000,18,8158203,0,2313214,0,655961,186848,16500133,2313214,8419097,5844989,349
pcs,./pcs_sim,500,8,16,1.0,asynchronous,1000,32,20.008,10000,18,8178883,0,2333894,0,658383,189354,16624805,2333894,8433656,5844989,371
pcs,./pcs_sim,500,4,32,1.0,asynchronous,1000,32,34.5317,10000,18,8189647,0,2344658,0,659478,190026,16709233,2344658,8442569,5844989,355
pcs,./pcs_sim,500,8,32,1.0,asynchronous,1000,32,20.5476,10000,18,8186633,0,2341644,0,660767,191661,16773107,2341644,8447347,5844989,362
pcs,./pcs_sim,500,4,64,1.0,asynchronous,1000,32,34.1941,10000,18,8176906,0,2331917,0,658606,189547,16697057,2331917,8433447,5844989,352
pcs,./pcs_sim,500,8,64,1.0,asynchronous,1000,32,20.5036,10000,18,8202527,0,2357538,0,662433,192340,16859107,2357538,8456462,5844989,365
pcs,./pcs_sim,500,4,128,1.0,asynchronous,1000,32,34.5348,10000,18,8151803,0,2306814,0,654272,185691,16471850,2306814,8404976,5844989,344
pcs,./pcs_sim,500,8,128,1.0,asynchronous,1000,32,20.9675,10000,18,8164076,0,2319087,0,656493,187466,16581779,2319087,8415406,5844989,361
pcs,./pcs_sim,500,4,256,1.0,asynchronous,1000,32,34.2301,10000,18,8158872,0,2313883,0,656158,187189,16602153,2313883,8411594,5844989,356
pcs,./pcs_sim,500,8,256,1.0,asynchronous,1000,32,20.3474,10000,18,8186044,0,2341055,0,659850,189741,16710627,2341055,8440469,5844989,374
pcs,./pcs_sim,500,16,4,1.0,asynchronous,1000,32,19.8511,10000,18,8154946,0,2309957,0,655886,185627,16477305,2309957,8400575,5844989,387
pcs,./pcs_sim,500,32,4,1.0,asynchronous,1000,32,58.0294,10000,18,8192459,0,2347470,0,660816,190459,16785085,2347470,8445675,5844989,474
pcs,./pcs_sim,500,16,16,1.0,asynchronous,1000,32,20.1488,10000,18,8163254,0,2318265,0,655820,186525,16640571,2318265,8409911,5844989,389
pcs,./pcs_sim,500,32,16,1.0,asynchronous,1000,32,58.1663,10000,18,8201077,0,2356088,0,662439,191843,16779952,2356088,8453642,5844989,482
pcs,./pcs_sim,500,16,32,1.0,asynchronous,1000,32,20.3796,10000,18,8148289,0,2303300,0,654182,184988,16475666,2303300,8392342,5844989,399
pcs,./pcs_sim,500,32,32,1.0,asynchronous,1000,32,61.5279,10000,18,8200418,0,2355429,0,661850,191553,16844742,2355429,8453919,5844989,547
