Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
traffic,./traffic_sim,10000,6,ladder-queue:96,1,off,asynchronous,1000,32,18.815,10000,6231127,0,0,0,0,0,0,0,6231127,6231127,214
traffic,./traffic_sim,10000,6,ladder-queue:96,2,off,asynchronous,1000,32,12.8816,10000,6234622,0,3495,0,1073,73,18657,3495,6235284,6231127,246
traffic,./traffic_sim,10000,6,ladder-queue:96,3,off,asynchronous,1000,32,10.9701,10000,6236749,0,5622,0,1521,101,26578,5622,6237133,6231127,264
traffic,./traffic_sim,10000,6,ladder-queue:96,6,off,asynchronous,1000,32,10.6936,10000,6269438,0,38311,0,6323,1043,124501,38311,6273856,6231127,298
traffic,./traffic_sim,10000,6,unsorted-bottom:16,1,off,asynchronous,1000,32,14.1664,10000,6231137,0,10,0,8,0,109,10,6231137,6231127,239
traffic,./traffic_sim,10000,6,unsorted-bottom:16,2,off,asynchronous,1000,32,10.9169,10000,6233578,0,2451,0,699,33,11983,2451,6233606,6231127,264
traffic,./traffic_sim,10000,6,unsorted-bottom:16,3,off,asynchronous,1000,32,10.2107,10000,6235569,0,4442,0,1360,101,22719,4442,6236650,6231127,268
traffic,./traffic_sim,10000,6,unsorted-bottom:16,6,off,asynchronous,1000,32,10.2554,10000,6286931,0,55804,0,7899,1837,172707,55804,6295579,6231127,290
traffic,./traffic_sim,10000,6,unsorted-bottom:50,1,off,asynchronous,1000,32,14.9015,10000,6231129,0,2,0,2,0,38,2,6231129,6231127,234
traffic,./traffic_sim,10000,6,unsorted-bottom:50,2,off,asynchronous,1000,32,10.6962,10000,6232151,0,1024,0,463,15,7624,1024,6232268,6231127,261
traffic,./traffic_sim,10000,6,unsorted-bottom:50,3,off,asynchronous,1000,32,10.6165,10000,6242254,0,11127,0,2269,253,43210,11127,6242616,6231127,268
traffic,./traffic_sim,10000,6,unsorted-bottom:50,6,off,asynchronous,1000,32,10.2045,10000,6264743,0,33616,0,5584,913,111327,33616,6267019,6231127,292
traffic,./traffic_sim,10000,6,unsorted-bottom:96,1,off,asynchronous,1000,32,13.902,10000,6231127,0,0,0,0,0,0,0,6231127,6231127,242
traffic,./traffic_sim,10000,6,unsorted-bottom:96,2,off,asynchronous,1000,32,10.7583,10000,6236494,0,5367,0,1248,121,21672,5367,6236670,6231127,267
traffic,./traffic_sim,10000,6,unsorted-bottom:96,3,off,asynchronous,1000,32,10.1912,10000,6236517,0,5390,0,1541,80,25894,5390,6236794,6231127,271
traffic,./traffic_sim,10000,6,unsorted-bottom:96,6,off,asynchronous,1000,32,10.1739,10000,6277403,0,46276,0,6787,1521,145349,46276,6284726,6231127,299
traffic,./traffic_sim,10000,6,lockfree-unsorted-bottom:16,1,off,asynchronous,1000,32,15.5736,10000,6231146,0,19,0,17,0,220,19,6231146,6231127,225
traffic,./traffic_sim,10000,6,lockfree-unsorted-bottom:16,2,off,asynchronous,1000,32,11.5243,10000,6234385,0,3258,0,953,50,16410,3258,6234548,6231127,247
traffic,./traffic_sim,10000,6,lockfree-unsorted-bottom:16,3,off,asynchronous,1000,32,10.1969,10000,6235390,0,4263,0,1239,88,22010,4263,6235554,6231127,275
traffic,./traffic_sim,10000,6,lockfree-unsorted-bottom:16,6,off,asynchronous,1000,32,10.4899,10000,6286037,0,54910,0,8028,2018,173496,54910,6290995,6231127,305
traffic,./traffic_sim,10000,6,lockfree-unsorted-bottom:50,1,off,asynchronous,1000,32,15.9903,10000,6231133,0,6,0,6,0,122,6,6231133,6231127,226
traffic,./traffic_sim,10000,6,lockfree-unsorted-bottom:50,2,off,asynchronous,1000,32,11.4794,10000,6232904,0,1777,0,702,25,11103,1777,6232944,6231127,249
traffic,./traffic_sim,10000,6,lockfree-unsorted-bottom:50,3,off,asynchronous,1000,32,10.9385,10000,6240860,0,9733,0,2314,236,42228,9733,6241481,6231127,269
traffic,./traffic_sim,10000,6,lockfree-unsorted-bottom:50,6,off,asynchronous,1000,32,10.3305,10000,6256343,0,25216,0,4870,771,95557,25216,6258461,6231127,289
traffic,./traffic_sim,10000,6,lockfree-unsorted-bottom:96,1,off,asynchronous,1000,32,15.1764,10000,6231130,0,3,0,3,0,69,3,6231130,6231127,241
traffic,./traffic_sim,10000,6,lockfree-unsorted-bottom:96,2,off,asynchronous,1000,32,11.5911,10000,6251997,0,20870,0,2723,713,56154,20870,6252220,6231127,262
traffic,./traffic_sim,10000,6,lockfree-unsorted-bottom:96,3,off,asynchronous,1000,32,10.6166,10000,6241290,0,10163,0,1787,309,35813,10163,6241539,6231127,265
traffic,./traffic_sim,10000,6,lockfree-unsorted-bottom:96,6,off,asynchronous,1000,32,10.6709,10000,6281068,0,49941,0,7761,1842,168862,49941,6286833,6231127,302
