Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Count,Block_Size,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
epidemic,./epidemic_sim,15000,4,1,32,off,asynchronous,1000,32,19.2381,10000,3893433,0,0,0,0,0,0,0,3893433,3893433,524
epidemic,./epidemic_sim,15000,4,1,64,off,asynchronous,1000,32,20.0007,10000,3893433,0,0,0,0,0,0,0,3893433,3893433,519
epidemic,./epidemic_sim,15000,4,1,128,off,asynchronous,1000,32,19.4721,10000,3893433,0,0,0,0,0,0,0,3893433,3893433,513
epidemic,./epidemic_sim,15000,4,1,256,off,asynchronous,1000,32,19.6777,10000,3893433,0,0,0,0,0,0,0,3893433,3893433,524
epidemic,./epidemic_sim,15000,8,1,32,off,asynchronous,1000,32,12.9838,10000,3893433,0,0,0,0,0,0,0,3893433,3893433,567
epidemic,./epidemic_sim,15000,8,1,64,off,asynchronous,1000,32,12.7432,10000,3893433,0,0,0,0,0,0,0,3893433,3893433,539
epidemic,./epidemic_sim,15000,8,1,128,off,asynchronous,1000,32,11.9565,10000,3893433,0,0,0,0,0,0,0,3893433,3893433,572
epidemic,./epidemic_sim,15000,8,1,256,off,asynchronous,1000,32,11.9031,10000,3893433,0,0,0,0,0,0,0,3893433,3893433,571
epidemic,./epidemic_sim,15000,4,2,32,off,asynchronous,1000,32,18.5698,10000,3893922,0,489,0,73,15,1654,489,3893939,3893433,546
epidemic,./epidemic_sim,15000,4,2,64,off,asynchronous,1000,32,17.6779,10000,3894544,0,1111,0,107,29,2414,1111,3894543,3893433,569
epidemic,./epidemic_sim,15000,4,2,128,off,asynchronous,1000,32,17.6277,10000,3893735,0,302,0,73,2,1388,302,3893734,3893433,555
epidemic,./epidemic_sim,15000,4,2,256,off,asynchronous,1000,32,18.0213,10000,3893867,0,434,0,68,12,1767,434,3893886,3893433,555
epidemic,./epidemic_sim,15000,8,2,32,off,asynchronous,1000,32,10.4279,10000,3893555,0,122,0,25,1,496,122,3893550,3893433,582
epidemic,./epidemic_sim,15000,8,2,64,off,asynchronous,1000,32,10.3576,10000,3893471,0,38,0,10,0,98,38,3893470,3893433,589
epidemic,./epidemic_sim,15000,8,2,128,off,asynchronous,1000,32,10.661,10000,3893980,0,547,0,78,15,1573,547,3894007,3893433,591
epidemic,./epidemic_sim,15000,8,2,256,off,asynchronous,1000,32,10.7403,10000,3893836,0,403,0,68,9,1039,403,3893854,3893433,586
epidemic,./epidemic_sim,15000,4,4,32,off,asynchronous,1000,32,17.0669,10000,3894796,0,1363,0,133,21,2497,1363,3894825,3893433,578
epidemic,./epidemic_sim,15000,4,4,64,off,asynchronous,1000,32,16.1852,10000,3895650,0,2217,0,162,39,3576,2217,3895667,3893433,607
epidemic,./epidemic_sim,15000,4,4,128,off,asynchronous,1000,32,17.7443,10000,3896743,0,3310,0,250,93,6260,3310,3896741,3893433,593
epidemic,./epidemic_sim,15000,4,4,256,off,asynchronous,1000,32,16.4004,10000,3895463,0,2036,0,190,60,4503,2036,3895527,3893427,592
