Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Static_Window_Size,Fraction_of_Total_Window,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Number_of_Partitions,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
epidemic,./epidemic_sim,15000,16,0,0.50,asynchronous,1000,32,7.09769,10000,49,4072209,0,178776,0,34698,1651,577000,178776,4069999,3893433,823
epidemic,./epidemic_sim,15000,32,0,0.50,asynchronous,1000,32,13.6815,10000,49,4072727,0,179294,0,34735,1660,577989,179294,4070511,3893433,859
epidemic,./epidemic_sim,15000,16,0,0.25,asynchronous,1000,32,7.28031,10000,49,4072309,0,178876,0,34698,1655,576978,178876,4070106,3893433,809
epidemic,./epidemic_sim,15000,32,0,0.25,asynchronous,1000,32,11.5035,10000,49,4072791,0,179358,0,34745,1667,577986,179358,4070584,3893433,817
epidemic,./epidemic_sim,15000,64,0,0.25,asynchronous,1000,32,192.12,10000,49,4081418,0,187985,0,35281,1876,591155,187985,4079111,3893433,1289
epidemic,./epidemic_sim,15000,16,0,0.05,asynchronous,1000,32,7.37806,10000,49,4072169,0,178736,0,34695,1649,576798,178736,4069964,3893433,804
epidemic,./epidemic_sim,15000,32,0,0.05,asynchronous,1000,32,11.7122,10000,49,4073167,0,179734,0,34714,1669,577522,179734,4070962,3893433,831
epidemic,./epidemic_sim,15000,64,4,1.0,asynchronous,1000,32,154.819,10000,49,4078549,0,185116,0,35084,1789,585753,185116,4076264,3893433,1222
epidemic,./epidemic_sim,15000,64,128,1.0,asynchronous,1000,32,124.364,10000,49,4077735,0,184302,0,35012,1767,584144,184302,4075425,3893433,1139
epidemic,./epidemic_sim,15000,64,0,0.05,asynchronous,1000,32,166.09,10000,49,4079512,0,186079,0,35148,1824,587414,186079,4077175,3893433,1228
