Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
epidemic,./epidemic_sim,15000,64,splay-tree,16,off,asynchronous,1000,32,6.47502,10000,3893741,0,308,0,72,2,1229,308,3893730,3893433,650
epidemic,./epidemic_sim,15000,4,ladder-queue:16,1,off,asynchronous,1000,32,23.4721,10000,3893433,0,0,0,0,0,0,0,3893433,3893433,506
epidemic,./epidemic_sim,15000,8,ladder-queue:16,1,off,asynchronous,1000,32,18.0195,10000,3893433,0,0,0,0,0,0,0,3893433,3893433,509
epidemic,./epidemic_sim,15000,4,ladder-queue:16,2,off,asynchronous,1000,32,19.4864,10000,3893492,0,59,0,18,0,333,59,3893492,3893433,522
epidemic,./epidemic_sim,15000,8,ladder-queue:16,2,off,asynchronous,1000,32,12.2173,10000,3893433,0,0,0,0,0,0,0,3893433,3893433,540
epidemic,./epidemic_sim,15000,4,ladder-queue:16,4,off,asynchronous,1000,32,16.7319,10000,3896004,0,2571,0,115,89,3531,2571,3896046,3893433,595
epidemic,./epidemic_sim,15000,8,ladder-queue:16,4,off,asynchronous,1000,32,11.1945,10000,3894950,0,1517,0,105,57,3049,1517,3894973,3893433,625
epidemic,./epidemic_sim,15000,16,ladder-queue:16,1,off,asynchronous,1000,32,13.7393,10000,3893433,0,0,0,0,0,0,0,3893433,3893433,528
epidemic,./epidemic_sim,15000,32,ladder-queue:16,1,off,asynchronous,1000,32,15.2603,10000,3893433,0,0,0,0,0,0,0,3893433,3893433,505
epidemic,./epidemic_sim,15000,64,ladder-queue:16,1,off,asynchronous,1000,32,14.71,10000,3893433,0,0,0,0,0,0,0,3893433,3893433,496
epidemic,./epidemic_sim,15000,16,ladder-queue:16,2,off,asynchronous,1000,32,9.49705,10000,3893527,0,94,0,25,0,436,94,3893521,3893433,584
epidemic,./epidemic_sim,15000,32,ladder-queue:16,2,off,asynchronous,1000,32,8.35337,10000,3893433,0,0,0,0,0,0,0,3893433,3893433,562
epidemic,./epidemic_sim,15000,64,ladder-queue:16,2,off,asynchronous,1000,32,8.48073,10000,3893495,0,62,0,21,0,430,62,3893491,3893433,569
epidemic,./epidemic_sim,15000,16,ladder-queue:16,4,off,asynchronous,1000,32,8.00384,10000,3906137,0,12705,0,447,406,14947,12705,3906388,3893432,722
epidemic,./epidemic_sim,15000,32,ladder-queue:16,4,off,asynchronous,1000,32,7.46582,10000,3895289,0,1856,0,137,33,3065,1856,3895297,3893433,702
epidemic,./epidemic_sim,15000,64,ladder-queue:16,4,off,asynchronous,1000,32,7.32398,10000,3893525,0,92,0,26,0,433,92,3893529,3893433,614
epidemic,./epidemic_sim,15000,16,ladder-queue:16,8,off,asynchronous,1000,32,6.97985,10000,3906270,0,12837,0,354,386,12997,12837,3906509,3893433,715
epidemic,./epidemic_sim,15000,32,ladder-queue:16,8,off,asynchronous,1000,32,7.07553,10000,3895325,0,1892,0,205,14,3926,1892,3895272,3893433,672
epidemic,./epidemic_sim,15000,64,ladder-queue:16,8,off,asynchronous,1000,32,7.08732,10000,3893486,0,53,0,13,1,229,53,3893486,3893433,658
epidemic,./epidemic_sim,15000,16,ladder-queue:16,16,off,asynchronous,1000,32,6.29868,10000,3894430,0,997,0,189,9,3581,997,3894455,3893433,730
epidemic,./epidemic_sim,15000,32,ladder-queue:16,16,off,asynchronous,1000,32,6.48648,10000,3898293,0,4860,0,428,102,9681,4860,3898363,3893433,726
epidemic,./epidemic_sim,15000,64,ladder-queue:16,16,off,asynchronous,1000,32,6.89146,10000,3893835,0,402,0,76,6,1518,402,3893835,3893433,722
epidemic,./epidemic_sim,15000,4,ladder-queue:50,1,off,asynchronous,1000,32,23.3344,10000,3893433,0,0,0,0,0,0,0,3893433,3893433,495
epidemic,./epidemic_sim,15000,8,ladder-queue:50,1,off,asynchronous,1000,32,16.9682,10000,3893433,0,0,0,0,0,0,0,3893433,3893433,515
