Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Count,Chain_Size,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
epidemic,./epidemic_sim,15000,32,16,16,off,asynchronous,1000,32,8.8774,10000,6546584,0,2831122,0,2135229,2069,45339195,2831122,6717772,3715462,382
epidemic,./epidemic_sim,15000,64,16,4,off,asynchronous,1000,32,8.64978,10000,6320168,0,2597292,0,2055180,136,43462022,2597292,6510735,3722876,338
epidemic,./epidemic_sim,15000,64,16,8,off,asynchronous,1000,32,9.43906,10000,6483948,0,2768277,0,2135381,259,45491244,2768277,6650527,3715671,334
epidemic,./epidemic_sim,15000,64,16,12,off,asynchronous,1000,32,8.73547,10000,6483189,0,2766450,0,2134327,83,45470154,2766450,6650188,3716739,335
epidemic,./epidemic_sim,15000,64,16,16,off,asynchronous,1000,32,9.55736,10000,6489169,0,2774933,0,2136362,539,45358193,2774933,6655757,3714236,334
epidemic,./epidemic_sim,15000,4,1,4,off,asynchronous,1000,32,35.7202,10000,6316312,0,2595397,0,2056175,0,43481043,2595397,6495189,3720915,264
epidemic,./epidemic_sim,15000,4,1,8,off,asynchronous,1000,32,37.4042,10000,6477336,0,2763141,0,2134898,0,45488801,2763141,6630790,3714195,258
epidemic,./epidemic_sim,15000,4,1,12,off,asynchronous,1000,32,37.6159,10000,6474273,0,2761530,0,2137003,0,45445197,2761530,6628456,3712743,258
epidemic,./epidemic_sim,15000,4,1,16,off,asynchronous,1000,32,37.1405,10000,6476774,0,2763115,0,2136697,0,45382377,2763115,6630931,3713659,260
epidemic,./epidemic_sim,15000,8,1,4,off,asynchronous,1000,32,22.412,10000,6316482,0,2594327,0,2055255,0,43665186,2594327,6493444,3722155,275
epidemic,./epidemic_sim,15000,8,1,8,off,asynchronous,1000,32,23.1245,10000,6471574,0,2758445,0,2134534,0,45455311,2758445,6620109,3713129,273
epidemic,./epidemic_sim,15000,8,1,12,off,asynchronous,1000,32,23.7332,10000,6472762,0,2759231,0,2134484,0,45349130,2759231,6622083,3713531,273
epidemic,./epidemic_sim,15000,8,1,16,off,asynchronous,1000,32,23.3442,10000,6473980,0,2759977,0,2133858,0,45435167,2759977,6626350,3714003,272
epidemic,./epidemic_sim,15000,4,2,4,off,asynchronous,1000,32,29.8425,10000,6320961,0,2596480,0,2053199,2,43553833,2596480,6514586,3724481,269
epidemic,./epidemic_sim,15000,4,2,8,off,asynchronous,1000,32,32.6682,10000,6481864,0,2765975,0,2136071,2,45511753,2765975,6652895,3715889,266
epidemic,./epidemic_sim,15000,4,2,12,off,asynchronous,1000,32,34.7415,10000,6480822,0,2765550,0,2136261,4,45718578,2765550,6650852,3715272,268
epidemic,./epidemic_sim,15000,4,2,16,off,asynchronous,1000,32,32.6815,10000,6478552,0,2764452,0,2137776,7,45667967,2764452,6648181,3714100,269
epidemic,./epidemic_sim,15000,8,2,4,off,asynchronous,1000,32,20.7284,10000,6336699,0,2613320,0,2054576,557,43373445,2613320,6518319,3723379,321
epidemic,./epidemic_sim,15000,8,2,8,off,asynchronous,1000,32,19.4847,10000,6476516,0,2762288,0,2135556,17,45525107,2762288,6630306,3714228,288
epidemic,./epidemic_sim,15000,8,2,12,off,asynchronous,1000,32,19.632,10000,6473866,0,2760910,0,2135975,7,45552513,2760910,6626836,3712956,285
epidemic,./epidemic_sim,15000,8,2,16,off,asynchronous,1000,32,19.8009,10000,6475650,0,2762176,0,2136967,10,45391258,2762176,6630824,3713474,285
epidemic,./epidemic_sim,15000,4,4,4,off,asynchronous,1000,32,26.5898,10000,6336460,0,2610370,0,2053801,500,43338916,2610370,6544712,3726090,303
epidemic,./epidemic_sim,15000,4,4,8,off,asynchronous,1000,32,28.8863,10000,6505218,0,2789518,0,2137014,703,45708934,2789518,6687324,3715700,312
epidemic,./epidemic_sim,15000,4,4,12,off,asynchronous,1000,32,29.045,10000,6496853,0,2780317,0,2136381,502,45568481,2780317,6679008,3716536,305
epidemic,./epidemic_sim,15000,4,4,16,off,asynchronous,1000,32,28.1821,10000,6484685,0,2768070,0,2136496,79,45523621,2768070,6667063,3716615,292
epidemic,./epidemic_sim,15000,8,4,4,off,asynchronous,1000,32,17.4377,10000,6343467,0,2618429,0,2052678,585,43046266,2618429,6540816,3725038,316
epidemic,./epidemic_sim,15000,8,4,8,off,asynchronous,1000,32,17.1803,10000,6486426,0,2770889,0,2135549,250,45731500,2770889,6656268,3715537,319
epidemic,./epidemic_sim,15000,8,4,12,off,asynchronous,1000,32,17.4352,10000,6502448,0,2786488,0,2135944,557,45592626,2786488,6673152,3715960,324
epidemic,./epidemic_sim,15000,8,4,16,off,asynchronous,1000,32,18.7688,10000,6482670,0,2767552,0,2136247,108,45578602,2767552,6652109,3715118,301
epidemic,./epidemic_sim,15000,16,1,4,off,asynchronous,1000,32,19.4873,10000,6314888,0,2591825,0,2052547,0,43379310,2591825,6494940,3723063,276
epidemic,./epidemic_sim,15000,16,1,8,off,asynchronous,1000,32,20.6026,10000,6469400,0,2756777,0,2134538,0,45445359,2756777,6620248,3712623,273
