Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Count,Block_Size,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
traffic,./traffic_sim-x1024-y1024-n5,500,16,2,32,off,asynchronous,1000,32,16.7322,1048576,6549210,0,1,0,3,0,5,1,6549212,6549209,1044
traffic,./traffic_sim-x1024-y1024-n5,500,16,2,64,off,asynchronous,1000,32,15.204,1048576,6549209,0,0,0,0,0,0,0,6549209,6549209,1040
traffic,./traffic_sim-x1024-y1024-n5,500,16,2,128,off,asynchronous,1000,32,18.7386,1048576,6549210,0,1,0,3,0,9,1,6549212,6549209,1053
traffic,./traffic_sim-x1024-y1024-n5,500,16,2,256,off,asynchronous,1000,32,18.9845,1048576,6549210,0,1,0,4,0,15,1,6549213,6549209,1064
traffic,./traffic_sim-x1024-y1024-n5,500,32,2,32,off,asynchronous,1000,32,15.9506,1048576,6549209,0,0,0,1,0,0,0,6549210,6549209,1040
traffic,./traffic_sim-x1024-y1024-n5,500,32,2,64,off,asynchronous,1000,32,15.9968,1048576,6549209,0,0,0,2,0,9,0,6549211,6549209,1047
traffic,./traffic_sim-x1024-y1024-n5,500,32,2,128,off,asynchronous,1000,32,16.1844,1048576,6549211,0,2,0,2,0,13,2,6549211,6549209,1038
traffic,./traffic_sim-x1024-y1024-n5,500,32,2,256,off,asynchronous,1000,32,19.5337,1048576,6549213,0,4,0,23,0,103,4,6549234,6549209,1051
traffic,./traffic_sim-x1024-y1024-n5,500,64,2,32,off,asynchronous,1000,32,17.0798,1048576,6549211,0,2,0,6,0,16,2,6549215,6549209,1043
traffic,./traffic_sim-x1024-y1024-n5,500,64,2,64,off,asynchronous,1000,32,17.6258,1048576,6549210,0,1,0,4,0,11,1,6549213,6549209,1042
traffic,./traffic_sim-x1024-y1024-n5,500,64,2,128,off,asynchronous,1000,32,19.8865,1048576,6549211,0,2,0,17,0,84,2,6549226,6549209,1048
traffic,./traffic_sim-x1024-y1024-n5,500,64,2,256,off,asynchronous,1000,32,20.8586,1048576,6549219,0,10,0,28,0,114,10,6549241,6549209,1054
traffic,./traffic_sim-x1024-y1024-n5,500,16,4,32,off,asynchronous,1000,32,10.2929,1048576,6549212,0,3,0,18,1,100,3,6549236,6549209,1054
traffic,./traffic_sim-x1024-y1024-n5,500,16,4,64,off,asynchronous,1000,32,11.9611,1048576,6549215,0,6,0,33,1,159,6,6549256,6549209,1062
traffic,./traffic_sim-x1024-y1024-n5,500,16,4,128,off,asynchronous,1000,32,11.7531,1048576,6549209,0,0,0,2,0,11,0,6549211,6549209,1078
traffic,./traffic_sim-x1024-y1024-n5,500,16,4,256,off,asynchronous,1000,32,12.8969,1048576,6549215,0,6,0,26,1,132,6,6549244,6549209,1061
traffic,./traffic_sim-x1024-y1024-n5,500,32,4,32,off,asynchronous,1000,32,11.9513,1048576,6549211,0,2,0,15,1,80,2,6549228,6549209,1055
traffic,./traffic_sim-x1024-y1024-n5,500,32,4,64,off,asynchronous,1000,32,9.85604,1048576,6549210,0,1,0,3,0,10,1,6549212,6549209,1046
traffic,./traffic_sim-x1024-y1024-n5,500,32,4,128,off,asynchronous,1000,32,11.1224,1048576,6549213,0,4,0,16,1,84,4,6549227,6549209,1066
traffic,./traffic_sim-x1024-y1024-n5,500,32,4,256,off,asynchronous,1000,32,12.871,1048576,6549216,0,7,0,32,1,142,7,6549249,6549209,1070
traffic,./traffic_sim-x1024-y1024-n5,500,64,4,32,off,asynchronous,1000,32,10.1645,1048576,6549209,0,0,0,2,0,14,0,6549211,6549209,1044
traffic,./traffic_sim-x1024-y1024-n5,500,64,4,64,off,asynchronous,1000,32,11.8564,1048576,6549216,0,7,0,26,0,122,7,6549243,6549209,1060
traffic,./traffic_sim-x1024-y1024-n5,500,64,4,128,off,asynchronous,1000,32,10.1417,1048576,6549212,0,3,0,15,0,65,3,6549226,6549209,1054
traffic,./traffic_sim-x1024-y1024-n5,500,64,4,256,off,asynchronous,1000,32,11.9523,1048576,6549229,0,20,0,67,0,310,20,6549287,6549209,1060
traffic,./traffic_sim-x1024-y1024-n5,500,16,8,32,off,asynchronous,1000,32,8.79374,1048576,6549210,0,1,0,5,0,15,1,6549215,6549209,1067
traffic,./traffic_sim-x1024-y1024-n5,500,16,8,64,off,asynchronous,1000,32,7.9872,1048576,6549212,0,3,0,13,0,40,3,6549223,6549209,1057
traffic,./traffic_sim-x1024-y1024-n5,500,16,8,128,off,asynchronous,1000,32,8.39743,1048576,6549211,0,2,0,12,1,71,2,6549224,6549209,1076
traffic,./traffic_sim-x1024-y1024-n5,500,16,8,256,off,asynchronous,1000,32,8.46433,1048576,6549210,0,1,0,3,0,7,1,6549212,6549209,1064
traffic,./traffic_sim-x1024-y1024-n5,500,32,8,32,off,asynchronous,1000,32,6.43643,1048576,6549230,0,21,0,54,1,248,21,6549289,6549209,1049
traffic,./traffic_sim-x1024-y1024-n5,500,32,8,64,off,asynchronous,1000,32,9.91163,1048576,6549215,0,6,0,19,1,92,6,6549236,6549209,1076
traffic,./traffic_sim-x1024-y1024-n5,500,32,8,128,off,asynchronous,1000,32,7.29144,1048576,6549217,0,8,0,33,1,145,8,6549248,6549209,1072
traffic,./traffic_sim-x1024-y1024-n5,500,32,8,256,off,asynchronous,1000,32,7.33975,1048576,6549215,0,6,0,11,0,42,6,6549223,6549209,1060
traffic,./traffic_sim-x1024-y1024-n5,500,64,8,32,off,asynchronous,1000,32,6.45699,1048576,6549218,0,9,0,22,0,86,9,6549243,6549209,1041
traffic,./traffic_sim-x1024-y1024-n5,500,64,8,64,off,asynchronous,1000,32,7.19015,1048576,6549215,0,6,0,17,0,71,6,6549228,6549209,1051
traffic,./traffic_sim-x1024-y1024-n5,500,64,8,128,off,asynchronous,1000,32,8.8271,1048576,6549226,0,17,0,38,0,178,17,6549258,6549209,1066
traffic,./traffic_sim-x1024-y1024-n5,500,64,8,256,off,asynchronous,1000,32,7.28361,1048576,6549224,0,15,0,49,0,235,15,6549269,6549209,1054
traffic,./traffic_sim-x1024-y1024-n5,500,16,16,32,off,asynchronous,1000,32,7.27498,1048576,6549218,0,9,0,14,1,71,9,6549229,6549209,1057
traffic,./traffic_sim-x1024-y1024-n5,500,16,16,64,off,asynchronous,1000,32,12.9408,1048576,6549224,0,15,0,56,1,272,15,6549287,6549209,1078
