Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,4,stl-multiset,1,off,asynchronous,1000,32,65.0638,100000,9183054,0,0,0,0,0,0,0,9183054,9183054,683
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,8,stl-multiset,1,off,asynchronous,1000,32,60.0686,100000,9183054,0,0,0,0,0,0,0,9183054,9183054,679
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,4,stl-multiset,2,off,asynchronous,1000,32,41.9724,100000,9375329,0,193158,0,74565,230,1274697,193158,9383500,9182171,772
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,8,stl-multiset,2,off,asynchronous,1000,32,34.2347,100000,9203169,0,20137,0,14306,2,227355,20137,9207253,9183032,751
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,4,stl-multiset,4,off,asynchronous,1000,32,36.1329,100000,9496057,0,315086,0,90762,2702,1510206,315086,9516786,9180971,850
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,8,stl-multiset,4,off,asynchronous,1000,32,22.6704,100000,9665450,0,489274,0,135538,4198,2389528,489274,9671167,9176176,896
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,16,stl-multiset,1,off,asynchronous,1000,32,69.3161,100000,9183054,0,0,0,0,0,0,0,9183054,9183054,673
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,32,stl-multiset,1,off,asynchronous,1000,32,76.9348,100000,9183054,0,0,0,0,0,0,0,9183054,9183054,669
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,64,stl-multiset,1,off,asynchronous,1000,32,82.1632,100000,9183054,0,0,0,0,0,0,0,9183054,9183054,669
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,16,stl-multiset,2,off,asynchronous,1000,32,34.8566,100000,9279810,0,98023,0,47994,29,756979,98023,9276415,9181787,765
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,32,stl-multiset,2,off,asynchronous,1000,32,38.7615,100000,9312475,0,130077,0,57533,78,980620,130077,9312385,9182398,767
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,64,stl-multiset,2,off,asynchronous,1000,32,35.2312,100000,9254668,0,72104,0,40367,8,639035,72104,9256352,9182564,771
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,16,stl-multiset,4,off,asynchronous,1000,32,21.8607,100000,9253129,0,70253,0,29777,113,491823,70253,9256749,9182876,816
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,32,stl-multiset,4,off,asynchronous,1000,32,22.8718,100000,9557040,0,378029,0,104680,2643,1791712,378029,9564330,9179011,892
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,64,stl-multiset,4,off,asynchronous,1000,32,19.9684,100000,9304939,0,122177,0,46435,616,752836,122177,9316327,9182762,853
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,16,stl-multiset,8,off,asynchronous,1000,32,15.7908,100000,9742977,0,566509,0,141253,5306,2528084,566509,9763214,9176468,984
epidemic,./epidemic_sim-mmodel_100k_ba.dat,6000,32,stl-multiset,8,off,asynchronous,1000,32,12.3211,100000,9433035,0,252668,0,78865,1860,1297603,252668,9443807,9180367,970
