Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Static_Window_Size,Fraction_of_Total_Window,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Number_of_Partitions,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
traffic,./traffic_sim,10000,8,0,0.05,asynchronous,1000,32,14.4392,10000,34,8494990,0,2263863,0,331165,77785,7480905,2263863,8622234,6231127,515
traffic,./traffic_sim,10000,16,0,0.75,asynchronous,1000,32,8.95068,10000,34,8492262,0,2261135,0,331284,77555,7495694,2261135,8618771,6231127,585
traffic,./traffic_sim,10000,32,0,0.75,asynchronous,1000,32,13.124,10000,34,8486483,0,2255356,0,330431,77313,7485895,2255356,8613576,6231127,532
traffic,./traffic_sim,10000,64,0,0.75,asynchronous,1000,32,80.57,10000,34,8481725,0,2250598,0,329833,76939,7446735,2250598,8607853,6231127,452
traffic,./traffic_sim,10000,16,0,0.50,asynchronous,1000,32,9.30097,10000,34,8491910,0,2260783,0,331247,77770,7488945,2260783,8618669,6231127,583
traffic,./traffic_sim,10000,32,0,0.50,asynchronous,1000,32,15.745,10000,34,8487057,0,2255930,0,330614,77338,7489735,2255930,8613323,6231127,523
traffic,./traffic_sim,10000,64,0,0.50,asynchronous,1000,32,86.5562,10000,34,8485093,0,2253966,0,330152,77163,7447737,2253966,8610430,6231127,455
traffic,./traffic_sim,10000,16,0,0.25,asynchronous,1000,32,9.03933,10000,34,8490614,0,2259487,0,330906,77522,7463348,2259487,8616418,6231127,583
traffic,./traffic_sim,10000,32,0,0.25,asynchronous,1000,32,13.159,10000,34,8489707,0,2258580,0,330470,77174,7461445,2258580,8615282,6231127,539
traffic,./traffic_sim,10000,64,0,0.25,asynchronous,1000,32,81.7957,10000,34,8494071,0,2262944,0,331094,77869,7506679,2262944,8622669,6231127,459
traffic,./traffic_sim,10000,16,0,0.05,asynchronous,1000,32,8.64899,10000,34,8498236,0,2267109,0,331586,77992,7516435,2267109,8626518,6231127,601
traffic,./traffic_sim,10000,32,0,0.05,asynchronous,1000,32,12.6189,10000,34,8498012,0,2266885,0,331140,78248,7488729,2266885,8626191,6231127,542
traffic,./traffic_sim,10000,64,0,0.05,asynchronous,1000,32,83.579,10000,34,8485468,0,2254341,0,330161,77244,7474376,2254341,8610388,6231127,460
traffic,./traffic_sim,10000,4,4,1.0,asynchronous,1000,32,26.2947,10000,34,8481337,0,2250210,0,329715,77242,7469659,2250210,8605967,6231127,465
traffic,./traffic_sim,10000,8,4,1.0,asynchronous,1000,32,15.4383,10000,34,8490323,0,2259196,0,330984,77452,7479939,2259196,8617020,6231127,509
traffic,./traffic_sim,10000,4,16,1.0,asynchronous,1000,32,27.438,10000,34,8481591,0,2250464,0,329984,77176,7470198,2250464,8607596,6231127,464
traffic,./traffic_sim,10000,8,16,1.0,asynchronous,1000,32,15.3673,10000,34,8492908,0,2261781,0,331007,77778,7492259,2261781,8619917,6231127,509
traffic,./traffic_sim,10000,4,32,1.0,asynchronous,1000,32,26.4879,10000,34,8488708,0,2257581,0,330256,77442,7477118,2257581,8615642,6231127,464
traffic,./traffic_sim,10000,8,32,1.0,asynchronous,1000,32,14.9736,10000,34,8490734,0,2259607,0,330930,77614,7476695,2259607,8618482,6231127,512
traffic,./traffic_sim,10000,4,64,1.0,asynchronous,1000,32,26.5843,10000,34,8481825,0,2250698,0,329819,77198,7482699,2250698,8607803,6231127,463
traffic,./traffic_sim,10000,8,64,1.0,asynchronous,1000,32,14.6396,10000,34,8489255,0,2258128,0,330882,77518,7477338,2258128,8616331,6231127,517
traffic,./traffic_sim,10000,4,128,1.0,asynchronous,1000,32,27.2743,10000,34,8487205,0,2256078,0,330349,77303,7466847,2256078,8613636,6231127,459
traffic,./traffic_sim,10000,8,128,1.0,asynchronous,1000,32,15.3354,10000,34,8491030,0,2259903,0,331021,77630,7487979,2259903,8618038,6231127,507
traffic,./traffic_sim,10000,4,256,1.0,asynchronous,1000,32,26.9161,10000,34,8486169,0,2255042,0,329942,77357,7479488,2255042,8612870,6231127,463
traffic,./traffic_sim,10000,8,256,1.0,asynchronous,1000,32,16.3257,10000,34,8487471,0,2256344,0,330785,77477,7482027,2256344,8614618,6231127,502
traffic,./traffic_sim,10000,16,4,1.0,asynchronous,1000,32,10.0736,10000,34,8489297,0,2258170,0,330848,77416,7477289,2258170,8615395,6231127,563
traffic,./traffic_sim,10000,32,4,1.0,asynchronous,1000,32,15.0533,10000,34,8488184,0,2257057,0,330209,77587,7455337,2257057,8614501,6231127,547
traffic,./traffic_sim,10000,64,4,1.0,asynchronous,1000,32,90.5064,10000,34,8485782,0,2254655,0,329838,77172,7423563,2254655,8613107,6231127,467
traffic,./traffic_sim,10000,16,16,1.0,asynchronous,1000,32,8.96269,10000,34,8492594,0,2261467,0,331066,77698,7484389,2261467,8619501,6231127,586
traffic,./traffic_sim,10000,32,16,1.0,asynchronous,1000,32,13.2108,10000,34,8484200,0,2253073,0,329688,77220,7439107,2253073,8609298,6231127,544
traffic,./traffic_sim,10000,64,16,1.0,asynchronous,1000,32,81.9684,10000,34,8487172,0,2256045,0,330246,77089,7459913,2256045,8612963,6231127,479
traffic,./traffic_sim,10000,16,32,1.0,asynchronous,1000,32,8.68464,10000,34,8491778,0,2260651,0,331202,77704,7494064,2260651,8618161,6231127,601
traffic,./traffic_sim,10000,32,32,1.0,asynchronous,1000,32,13.1644,10000,34,8488760,0,2257633,0,330460,77335,7476233,2257633,8614381,6231127,523
traffic,./traffic_sim,10000,64,32,1.0,asynchronous,1000,32,85.5738,10000,34,8489866,0,2258739,0,330503,77355,7472270,2258739,8615048,6231127,468
traffic,./traffic_sim,10000,16,64,1.0,asynchronous,1000,32,9.11549,10000,34,8496067,0,2264940,0,331273,77864,7507442,2264940,8623002,6231127,581
traffic,./traffic_sim,10000,32,64,1.0,asynchronous,1000,32,14.2238,10000,34,8506474,0,2275347,0,331768,78343,7535417,2275347,8634401,6231127,541
traffic,./traffic_sim,10000,64,64,1.0,asynchronous,1000,32,89.8278,10000,34,8498258,0,2267131,0,331245,77978,7465456,2267131,8626573,6231127,468
traffic,./traffic_sim,10000,16,128,1.0,asynchronous,1000,32,9.34296,10000,34,8490692,0,2259565,0,331047,77531,7488046,2259565,8616840,6231127,576
traffic,./traffic_sim,10000,32,128,1.0,asynchronous,1000,32,13.8434,10000,34,8497972,0,2266845,0,331134,77961,7497427,2266845,8625183,6231127,552
traffic,./traffic_sim,10000,64,128,1.0,asynchronous,1000,32,89.5024,10000,34,8485986,0,2254859,0,330192,76992,7474390,2254859,8611776,6231127,461
traffic,./traffic_sim,10000,16,256,1.0,asynchronous,1000,32,8.96991,10000,34,8490302,0,2259175,0,330874,77587,7480286,2259175,8616542,6231127,585
traffic,./traffic_sim,10000,32,256,1.0,asynchronous,1000,32,13.4608,10000,34,8492708,0,2261581,0,330617,77557,7490376,2261581,8617073,6231127,536
traffic,./traffic_sim,10000,64,256,1.0,asynchronous,1000,32,80.7043,10000,34,8491484,0,2260357,0,330371,77595,7482697,2260357,8620046,6231127,441
traffic,./traffic_sim,10000,4,0,0.75,asynchronous,1000,32,25.5319,10000,34,8484641,0,2253514,0,330096,77207,7472460,2253514,8611942,6231127,468
traffic,./traffic_sim,10000,8,0,0.75,asynchronous,1000,32,15.601,10000,34,8488551,0,2257424,0,330718,77367,7479254,2257424,8615529,6231127,508
traffic,./traffic_sim,10000,4,0,0.50,asynchronous,1000,32,26.4592,10000,34,8484033,0,2252906,0,330081,77094,7455859,2252906,8609045,6231127,465
traffic,./traffic_sim,10000,8,0,0.50,asynchronous,1000,32,15.6202,10000,34,8489785,0,2258658,0,330740,77530,7465729,2258658,8616021,6231127,505
traffic,./traffic_sim,10000,4,0,0.25,asynchronous,1000,32,27.9136,10000,34,8480154,0,2249027,0,329712,76842,7445975,2249027,8605471,6231127,458
traffic,./traffic_sim,10000,8,0,0.25,asynchronous,1000,32,15.2918,10000,34,8493849,0,2262722,0,331112,77502,7495186,2262722,8621609,6231127,510
traffic,./traffic_sim,10000,4,0,0.05,asynchronous,1000,32,26.6082,10000,34,8482586,0,2251459,0,330038,77174,7431313,2251459,8609048,6231127,463
traffic,./traffic_sim,10000,8,0,0.05,asynchronous,1000,32,15.2179,10000,34,8487148,0,2256021,0,330463,77446,7460235,2256021,8612642,6231127,510
traffic,./traffic_sim,10000,16,0,0.75,asynchronous,1000,32,8.66385,10000,34,8495005,0,2263878,0,331316,77886,7495506,2263878,8622508,6231127,602
traffic,./traffic_sim,10000,32,0,0.75,asynchronous,1000,32,15.3308,10000,34,8488066,0,2256939,0,330564,77190,7460357,2256939,8613312,6231127,528
traffic,./traffic_sim,10000,64,0,0.75,asynchronous,1000,32,78.6005,10000,34,8510456,0,2279329,0,331989,78630,7539237,2279329,8638869,6231127,462
traffic,./traffic_sim,10000,16,0,0.50,asynchronous,1000,32,8.96765,10000,34,8497019,0,2265892,0,331478,77864,7500464,2265892,8623839,6231127,581
traffic,./traffic_sim,10000,32,0,0.50,asynchronous,1000,32,12.4512,10000,34,8484419,0,2253292,0,329752,77166,7433727,2253292,8608647,6231127,553
traffic,./traffic_sim,10000,64,0,0.50,asynchronous,1000,32,88.5489,10000,34,8492083,0,2260956,0,330433,77747,7495230,2260956,8620971,6231127,463
traffic,./traffic_sim,10000,16,0,0.25,asynchronous,1000,32,8.70949,10000,34,8496531,0,2265404,0,331344,77986,7511746,2265404,8623736,6231127,604
traffic,./traffic_sim,10000,32,0,0.25,asynchronous,1000,32,13.5951,10000,34,8484876,0,2253749,0,330114,77086,7464767,2253749,8609894,6231127,533
traffic,./traffic_sim,10000,64,0,0.25,asynchronous,1000,32,79.2916,10000,34,8482920,0,2251793,0,330419,76733,7452612,2251793,8608232,6231127,477
traffic,./traffic_sim,10000,16,0,0.05,asynchronous,1000,32,8.96999,10000,34,8491889,0,2260762,0,331230,77650,7501424,2260762,8618486,6231127,584
traffic,./traffic_sim,10000,32,0,0.05,asynchronous,1000,32,14.8134,10000,34,8489236,0,2258109,0,330369,77231,7470861,2258109,8613773,6231127,528
traffic,./traffic_sim,10000,64,0,0.05,asynchronous,1000,32,90.7817,10000,34,8497020,0,2265893,0,330972,77724,7501754,2265893,8623001,6231127,464
traffic,./traffic_sim,10000,4,4,1.0,asynchronous,1000,32,27.2728,10000,34,8483915,0,2252788,0,330081,77102,7465874,2252788,8609717,6231127,460
traffic,./traffic_sim,10000,8,4,1.0,asynchronous,1000,32,15.939,10000,34,8489348,0,2258221,0,330823,77481,7471356,2258221,8615648,6231127,504
traffic,./traffic_sim,10000,4,16,1.0,asynchronous,1000,32,25.9618,10000,34,8480425,0,2249298,0,329805,77054,7465090,2249298,8605884,6231127,467
traffic,./traffic_sim,10000,8,16,1.0,asynchronous,1000,32,14.5151,10000,34,8487490,0,2256363,0,330897,77394,7492949,2256363,8614457,6231127,516
traffic,./traffic_sim,10000,4,32,1.0,asynchronous,1000,32,27.381,10000,34,8484795,0,2253668,0,330115,77398,7486631,2253668,8610564,6231127,459
traffic,./traffic_sim,10000,8,32,1.0,asynchronous,1000,32,15.4982,10000,34,8490624,0,2259497,0,331101,77587,7485172,2259497,8617702,6231127,510
traffic,./traffic_sim,10000,4,64,1.0,asynchronous,1000,32,26.5776,10000,34,8485632,0,2254505,0,330156,77261,7472890,2254505,8612086,6231127,464
traffic,./traffic_sim,10000,8,64,1.0,asynchronous,1000,32,15.9293,10000,34,8492562,0,2261435,0,331259,77585,7483640,2261435,8619479,6231127,499
traffic,./traffic_sim,10000,4,128,1.0,asynchronous,1000,32,25.591,10000,34,8487844,0,2256717,0,329947,77425,7449234,2256717,8613572,6231127,466
traffic,./traffic_sim,10000,8,128,1.0,asynchronous,1000,32,15.6412,10000,34,8484976,0,2253849,0,330479,77142,7462130,2253849,8611100,6231127,511
traffic,./traffic_sim,10000,4,256,1.0,asynchronous,1000,32,27.4542,10000,34,8481813,0,2250686,0,329693,77025,7453225,2250686,8607400,6231127,462
traffic,./traffic_sim,10000,8,256,1.0,asynchronous,1000,32,15.0362,10000,34,8488029,0,2256902,0,330546,77346,7467824,2256902,8614024,6231127,512
traffic,./traffic_sim,10000,16,4,1.0,asynchronous,1000,32,10.0772,10000,34,8488991,0,2257864,0,331051,77411,7489261,2257864,8614895,6231127,565
traffic,./traffic_sim,10000,32,4,1.0,asynchronous,1000,32,15.1247,10000,34,8489921,0,2258794,0,330572,77574,7482846,2258794,8617659,6231127,540
traffic,./traffic_sim,10000,64,4,1.0,asynchronous,1000,32,83.9174,10000,34,8493586,0,2262459,0,330920,77707,7515784,2262459,8619602,6231127,468
traffic,./traffic_sim,10000,16,16,1.0,asynchronous,1000,32,9.04929,10000,34,8490295,0,2259168,0,330978,77447,7488921,2259168,8617237,6231127,584
traffic,./traffic_sim,10000,32,16,1.0,asynchronous,1000,32,14.3072,10000,34,8492841,0,2261714,0,330790,77468,7478788,2261714,8620923,6231127,530
traffic,./traffic_sim,10000,64,16,1.0,asynchronous,1000,32,87.8592,10000,34,8506294,0,2275167,0,331735,78285,7504008,2275167,8636175,6231127,463
traffic,./traffic_sim,10000,16,32,1.0,asynchronous,1000,32,9.51652,10000,34,8486537,0,2255410,0,330785,77306,7478256,2255410,8612741,6231127,575
traffic,./traffic_sim,10000,32,32,1.0,asynchronous,1000,32,12.4574,10000,34,8494952,0,2263825,0,330838,77631,7482697,2263825,8622178,6231127,549
traffic,./traffic_sim,10000,64,32,1.0,asynchronous,1000,32,81.8387,10000,34,8501426,0,2270299,0,331518,78228,7507076,2270299,8631050,6231127,458
traffic,./traffic_sim,10000,16,64,1.0,asynchronous,1000,32,9.33092,10000,34,8497670,0,2266543,0,331408,78038,7505060,2266543,8625048,6231127,578
traffic,./traffic_sim,10000,32,64,1.0,asynchronous,1000,32,13.7077,10000,34,8505521,0,2274394,0,331738,78582,7508558,2274394,8634166,6231127,539
traffic,./traffic_sim,10000,64,64,1.0,asynchronous,1000,32,90.5895,10000,34,8497675,0,2266548,0,330909,77870,7476198,2266548,8626081,6231127,475
traffic,./traffic_sim,10000,16,128,1.0,asynchronous,1000,32,8.98524,10000,34,8488425,0,2257298,0,330867,77554,7466017,2257298,8615216,6231127,586
traffic,./traffic_sim,10000,32,128,1.0,asynchronous,1000,32,12.7033,10000,34,8488673,0,2257546,0,330099,77463,7475831,2257546,8613857,6231127,535
traffic,./traffic_sim,10000,64,128,1.0,asynchronous,1000,32,90.3779,10000,34,8506236,0,2275109,0,331897,78333,7526640,2275109,8635636,6231127,464
traffic,./traffic_sim,10000,16,256,1.0,asynchronous,1000,32,8.95076,10000,34,8494555,0,2263428,0,331425,77934,7498039,2263428,8622100,6231127,587
traffic,./traffic_sim,10000,32,256,1.0,asynchronous,1000,32,12.3172,10000,34,8495377,0,2264250,0,331231,77968,7481335,2264250,8623064,6231127,536
traffic,./traffic_sim,10000,64,256,1.0,asynchronous,1000,32,79.2264,10000,34,8491656,0,2260529,0,330303,77347,7459015,2260529,8615404,6231127,455
traffic,./traffic_sim,10000,4,0,0.75,asynchronous,1000,32,25.9599,10000,34,8484657,0,2253530,0,330007,77208,7468442,2253530,8610494,6231127,467
traffic,./traffic_sim,10000,8,0,0.75,asynchronous,1000,32,14.5206,10000,34,8491038,0,2259911,0,330957,77741,7475581,2259911,8617180,6231127,515
traffic,./traffic_sim,10000,4,0,0.50,asynchronous,1000,32,26.8835,10000,34,8483041,0,2251914,0,330057,77155,7461386,2251914,8608900,6231127,461
traffic,./traffic_sim,10000,8,0,0.50,asynchronous,1000,32,15.393,10000,34,8487831,0,2256704,0,330716,77344,7477338,2256704,8614288,6231127,509
traffic,./traffic_sim,10000,4,0,0.25,asynchronous,1000,32,27.2478,10000,34,8478048,0,2246921,0,329818,76838,7442181,2246921,8603905,6231127,464
traffic,./traffic_sim,10000,8,0,0.25,asynchronous,1000,32,15.0035,10000,34,8491064,0,2259937,0,330939,77686,7489458,2259937,8618823,6231127,512
traffic,./traffic_sim,10000,4,0,0.05,asynchronous,1000,32,26.2983,10000,34,8481929,0,2250802,0,329815,77131,7455696,2250802,8606697,6231127,467
traffic,./traffic_sim,10000,8,0,0.05,asynchronous,1000,32,14.4392,10000,34,8494990,0,2263863,0,331165,77785,7480905,2263863,8622234,6231127,515
traffic,./traffic_sim,10000,16,0,0.75,asynchronous,1000,32,8.95068,10000,34,8492262,0,2261135,0,331284,77555,7495694,2261135,8618771,6231127,585
traffic,./traffic_sim,10000,32,0,0.75,asynchronous,1000,32,13.124,10000,34,8486483,0,2255356,0,330431,77313,7485895,2255356,8613576,6231127,532
traffic,./traffic_sim,10000,64,0,0.75,asynchronous,1000,32,80.57,10000,34,8481725,0,2250598,0,329833,76939,7446735,2250598,8607853,6231127,452
traffic,./traffic_sim,10000,16,0,0.50,asynchronous,1000,32,9.30097,10000,34,8491910,0,2260783,0,331247,77770,7488945,2260783,8618669,6231127,583
