Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Count,Chain_Size,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
traffic,./traffic_sim,10000,16,2,12,off,asynchronous,1000,32,12.1099,10000,9052412,0,2821285,0,828442,11833,15375571,2821285,9165699,6231127,363
traffic,./traffic_sim,10000,16,2,16,off,asynchronous,1000,32,12.4169,10000,9172912,0,2941785,0,815399,11750,15290849,2941785,9289210,6231127,378
traffic,./traffic_sim,10000,32,2,4,off,asynchronous,1000,32,9.15395,10000,7702906,0,1471779,0,745259,8944,13349961,1471779,7765174,6231127,362
traffic,./traffic_sim,10000,32,2,8,off,asynchronous,1000,32,10.105,10000,8710144,0,2479017,0,828124,11628,15460515,2479017,8811663,6231127,374
traffic,./traffic_sim,10000,32,2,12,off,asynchronous,1000,32,11.1929,10000,9066769,0,2835642,0,830063,12862,15465968,2835642,9183675,6231127,365
traffic,./traffic_sim,10000,32,2,16,off,asynchronous,1000,32,11.5027,10000,9184407,0,2953280,0,816862,12283,15346843,2953280,9301788,6231127,380
traffic,./traffic_sim,10000,64,2,4,off,asynchronous,1000,32,8.97536,10000,7657749,0,1426622,0,743144,6555,13245263,1426622,7717399,6231127,326
traffic,./traffic_sim,10000,64,2,8,off,asynchronous,1000,32,9.844,10000,8715747,0,2484620,0,828742,11894,15430272,2484620,8816493,6231127,357
traffic,./traffic_sim,10000,64,2,12,off,asynchronous,1000,32,11.0308,10000,9067755,0,2836628,0,830658,12867,15489050,2836628,9182814,6231127,354
traffic,./traffic_sim,10000,64,2,16,off,asynchronous,1000,32,10.9597,10000,9169998,0,2938871,0,815859,11353,15346346,2938871,9287058,6231127,352
traffic,./traffic_sim,10000,16,4,4,off,asynchronous,1000,32,7.76759,10000,7891982,0,1660855,0,758855,18224,13902834,1660855,7963471,6231127,436
traffic,./traffic_sim,10000,16,4,8,off,asynchronous,1000,32,8.54783,10000,9087067,0,2855940,0,859000,31326,16633591,2855940,9212325,6231127,476
traffic,./traffic_sim,10000,16,4,12,off,asynchronous,1000,32,8.77633,10000,9092680,0,2861553,0,834087,14239,15546378,2861553,9210224,6231127,429
traffic,./traffic_sim,10000,16,4,16,off,asynchronous,1000,32,9.49334,10000,9258108,0,3026981,0,825779,16875,15643237,3026981,9381999,6231127,440
traffic,./traffic_sim,10000,32,4,4,off,asynchronous,1000,32,7.01945,10000,7810736,0,1579609,0,754047,14515,13697575,1579609,7883303,6231127,454
traffic,./traffic_sim,10000,32,4,8,off,asynchronous,1000,32,7.10991,10000,8821123,0,2589996,0,839287,18058,15855181,2589996,8933823,6231127,477
traffic,./traffic_sim,10000,32,4,12,off,asynchronous,1000,32,7.3905,10000,9063991,0,2832864,0,830481,12538,15520690,2832864,9178838,6231127,449
traffic,./traffic_sim,10000,32,4,16,off,asynchronous,1000,32,7.48258,10000,9175302,0,2944175,0,816761,11877,15311194,2944175,9292515,6231127,455
traffic,./traffic_sim,10000,64,4,4,off,asynchronous,1000,32,6.08874,10000,7684948,0,1453821,0,745099,8081,13352659,1453821,7748833,6231127,431
traffic,./traffic_sim,10000,64,4,8,off,asynchronous,1000,32,6.92915,10000,8721624,0,2490497,0,829481,12501,15484118,2490497,8825834,6231127,429
traffic,./traffic_sim,10000,64,4,12,off,asynchronous,1000,32,6.90978,10000,9083736,0,2852609,0,833238,13916,15551097,2852609,9199884,6231127,429
traffic,./traffic_sim,10000,64,4,16,off,asynchronous,1000,32,7.07457,10000,9178882,0,2947755,0,817054,11994,15355187,2947755,9296063,6231127,435
traffic,./traffic_sim,10000,16,8,4,off,asynchronous,1000,32,6.50989,10000,8024503,0,1793376,0,765502,23238,14237807,1793376,8099120,6231127,496
traffic,./traffic_sim,10000,16,8,8,off,asynchronous,1000,32,7.88253,10000,9124865,0,2893738,0,862574,32071,16646287,2893738,9251956,6231127,483
traffic,./traffic_sim,10000,16,8,12,off,asynchronous,1000,32,9.05396,10000,9362619,0,3131492,0,858955,27718,16494785,3131492,9488575,6231127,444
traffic,./traffic_sim,10000,16,8,16,off,asynchronous,1000,32,8.79565,10000,9460092,0,3228965,0,842477,25668,16222799,3228965,9592657,6231127,445
traffic,./traffic_sim,10000,32,8,4,off,asynchronous,1000,32,5.41496,10000,7687254,0,1456127,0,747217,8263,13468580,1456127,7753962,6231127,503
traffic,./traffic_sim,10000,32,8,8,off,asynchronous,1000,32,6.32642,10000,8772024,0,2540897,0,835612,15151,15676975,2540897,8876585,6231127,484
traffic,./traffic_sim,10000,32,8,12,off,asynchronous,1000,32,6.46424,10000,9098027,0,2866900,0,836171,14889,15662948,2866900,9221107,6231127,485
traffic,./traffic_sim,10000,32,8,16,off,asynchronous,1000,32,7.08377,10000,9328794,0,3097667,0,834828,20774,15950251,3097667,9459749,6231127,487
traffic,./traffic_sim,10000,64,8,4,off,asynchronous,1000,32,5.46525,10000,7674850,0,1443723,0,746487,7275,13370886,1443723,7737164,6231127,454
traffic,./traffic_sim,10000,64,8,8,off,asynchronous,1000,32,6.3552,10000,8738023,0,2506896,0,831460,13462,15550394,2506896,8841468,6231127,440
traffic,./traffic_sim,10000,64,8,12,off,asynchronous,1000,32,6.50467,10000,9091323,0,2860196,0,835526,14494,15583669,2860196,9209612,6231127,451
traffic,./traffic_sim,10000,64,8,16,off,asynchronous,1000,32,6.52764,10000,9197671,0,2966544,0,820941,13459,15522822,2966544,9320275,6231127,462
traffic,./traffic_sim,10000,16,16,4,off,asynchronous,1000,32,5.35217,10000,7997862,0,1766735,0,765856,20294,14259237,1766735,8068130,6231127,564
traffic,./traffic_sim,10000,16,16,8,off,asynchronous,1000,32,6.04626,10000,8870465,0,2639338,0,848850,20554,16104225,2639338,8991659,6231127,530
