Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,6,stl-multiset,1,off,asynchronous,1000,32,19.6768,10000,3893489,0,0,0,0,0,0,0,3893489,3893489,516
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,6,stl-multiset,2,off,asynchronous,1000,32,16.6158,10000,3935456,0,41967,0,13776,38,226691,41967,3933689,3893489,542
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,6,stl-multiset,3,off,asynchronous,1000,32,16.1366,10000,3943543,0,50054,0,14079,137,232640,50054,3941904,3893489,548
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,6,stl-multiset,6,off,asynchronous,1000,32,16.3652,10000,4056903,0,163419,0,27114,1356,484472,163419,4053249,3893484,569
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,6,splay-tree,1,off,asynchronous,1000,32,19.8645,10000,3893489,0,0,0,0,0,0,0,3893489,3893489,521
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,6,splay-tree,2,off,asynchronous,1000,32,16.8625,10000,3938578,0,45089,0,14681,37,241657,45089,3936984,3893489,543
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,6,splay-tree,3,off,asynchronous,1000,32,16.1952,10000,3954801,0,61312,0,14295,287,238844,61312,3953509,3893489,544
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,6,ladder-queue:16,1,off,asynchronous,1000,32,18.4922,10000,3893489,0,0,0,0,0,0,0,3893489,3893489,523
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,6,ladder-queue:16,2,off,asynchronous,1000,32,17.2328,10000,3943110,0,49621,0,14841,68,246604,49621,3940887,3893489,540
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,6,ladder-queue:16,3,off,asynchronous,1000,32,16.2934,10000,3965028,0,71539,0,17648,292,295275,71539,3962818,3893489,553
