Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Count,Chain_Size,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,6,1,2,off,asynchronous,1000,32,45.1977,100000,10819266,0,1971167,0,2006860,0,30039940,1971167,10854959,8848099,392
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,6,1,3,off,asynchronous,1000,32,48.6138,100000,12168233,0,3474438,0,3084581,0,49698794,3474438,12688046,8693795,418
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,6,1,4,off,asynchronous,1000,32,50.1755,100000,13041383,0,4342831,0,3603037,0,58771056,4342831,13732735,8698552,419
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,6,2,2,off,asynchronous,1000,32,33.347,100000,10819084,0,1970575,0,2006738,0,30009973,1970575,10855247,8848509,411
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,6,2,3,off,asynchronous,1000,32,40.1269,100000,12168563,0,3474484,0,3084947,0,49557592,3474484,12696868,8694079,424
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,6,2,4,off,asynchronous,1000,32,45.0639,100000,13045653,0,4345220,0,3602930,0,58724680,4345220,13751441,8700433,424
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,6,3,2,off,asynchronous,1000,32,30.2213,100000,10819263,0,1970875,0,2007310,0,30005095,1970875,10855698,8848388,435
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,6,3,3,off,asynchronous,1000,32,37.1332,100000,12168116,0,3474365,0,3085447,0,49451123,3474365,12701434,8693751,444
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,6,3,4,off,asynchronous,1000,32,41.7527,100000,13045912,0,4345179,0,3603907,0,58719009,4345179,13760251,8700733,460
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,6,6,2,off,asynchronous,1000,32,32.8568,100000,10818748,0,1970430,0,2007130,0,30017363,1970430,10855449,8848318,436
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,6,6,3,off,asynchronous,1000,32,39.3461,100000,12170398,0,3476078,0,3087274,0,49475620,3476078,12709214,8694320,434
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,6,6,4,off,asynchronous,1000,32,43.8046,100000,13047815,0,4345518,0,3604356,0,58763648,4345518,13774384,8702297,439
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,6,1,2,off,asynchronous,1000,32,45.7101,100000,10819563,0,1971391,0,2007018,0,30013500,1971391,10855190,8848172,390
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,6,1,3,off,asynchronous,1000,32,47.5882,100000,12167467,0,3473788,0,3084921,0,49672863,3473788,12688350,8693679,414
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,6,1,4,off,asynchronous,1000,32,50.6428,100000,13041594,0,4342710,0,3602350,0,58797244,4342710,13731866,8698884,418
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,6,2,2,off,asynchronous,1000,32,34.1041,100000,10819402,0,1971133,0,2006831,0,30024100,1971133,10855100,8848269,410
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,6,2,3,off,asynchronous,1000,32,40.1185,100000,12167750,0,3474525,0,3086278,0,49493645,3474525,12696390,8693225,423
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,6,2,4,off,asynchronous,1000,32,44.5997,100000,13046220,0,4345167,0,3603358,0,58713973,4345167,13753603,8701053,426
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,6,3,2,off,asynchronous,1000,32,31.2184,100000,10818853,0,1970408,0,2006547,0,30010915,1970408,10854992,8848445,440
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,6,3,3,off,asynchronous,1000,32,38.2858,100000,12167806,0,3474033,0,3086003,0,49422062,3474033,12701868,8693773,451
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,6,3,4,off,asynchronous,1000,32,41.0844,100000,13045908,0,4344484,0,3602357,0,58659437,4344484,13761240,8701424,437
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,6,6,2,off,asynchronous,1000,32,31.8091,100000,10818744,0,1970432,0,2007103,0,30016573,1970432,10855415,8848312,430
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,6,6,3,off,asynchronous,1000,32,38.8063,100000,12170418,0,3476099,0,3087377,0,49478069,3476099,12709289,8694319,437
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,6,6,4,off,asynchronous,1000,32,43.8151,100000,13047749,0,4345484,0,3604305,0,58757131,4345484,13774256,8702265,447
