Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Count,Block_Size,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,4,1,32,off,asynchronous,1000,32,19.304,10000,3893489,0,0,0,0,0,0,0,3893489,3893489,524
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,4,1,64,off,asynchronous,1000,32,19.5652,10000,3893489,0,0,0,0,0,0,0,3893489,3893489,534
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,4,1,128,off,asynchronous,1000,32,19.2998,10000,3893489,0,0,0,0,0,0,0,3893489,3893489,524
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,4,1,256,off,asynchronous,1000,32,19.576,10000,3893489,0,0,0,0,0,0,0,3893489,3893489,536
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,8,1,32,off,asynchronous,1000,32,12.5661,10000,3893489,0,0,0,0,0,0,0,3893489,3893489,576
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,8,1,64,off,asynchronous,1000,32,12.2343,10000,3893489,0,0,0,0,0,0,0,3893489,3893489,580
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,8,1,128,off,asynchronous,1000,32,12.1681,10000,3893489,0,0,0,0,0,0,0,3893489,3893489,583
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,8,1,256,off,asynchronous,1000,32,12.3679,10000,3893489,0,0,0,0,0,0,0,3893489,3893489,571
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,4,2,32,off,asynchronous,1000,32,19.4427,10000,3919772,0,26283,0,9297,21,149743,26283,3919096,3893489,530
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,4,2,64,off,asynchronous,1000,32,19.4896,10000,3994323,0,100834,0,17291,479,303635,100834,3989148,3893489,535
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,4,2,128,off,asynchronous,1000,32,19.4064,10000,3924002,0,30513,0,11414,18,185862,30513,3922927,3893489,540
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,4,2,256,off,asynchronous,1000,32,18.5294,10000,3900910,0,7421,0,3391,4,53293,7421,3900712,3893489,535
epidemic,./epidemic_sim-mmodel_10k_ba.dat,15000,8,2,32,off,asynchronous,1000,32,11.9993,10000,3961255,0,67768,0,20003,93,335151,67768,3958619,3893487,582
