Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Count,Chain_Size,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
sandpile,./sandpile_sim-d100,15000,8,2,16,off,asynchronous,1000,32,25.9675,10000,16028329,0,449220,0,230080,104511,6390965,449220,16140017,15579109,147
sandpile,./sandpile_sim-d100,15000,4,4,4,off,asynchronous,1000,32,34.1815,10000,16725605,0,1146496,0,404845,284987,14177739,1146496,16958320,15579109,123
sandpile,./sandpile_sim-d100,15000,4,4,8,off,asynchronous,1000,32,34.6353,10000,16709961,0,1130852,0,402528,283194,13993969,1130852,16946782,15579109,120
sandpile,./sandpile_sim-d100,15000,4,4,12,off,asynchronous,1000,32,34.9172,10000,16794623,0,1215514,0,424795,306827,15081446,1215514,17040953,15579109,120
sandpile,./sandpile_sim-d100,15000,4,4,16,off,asynchronous,1000,32,33.7796,10000,16704061,0,1124952,0,386928,280154,13755691,1124952,16926875,15579109,122
sandpile,./sandpile_sim-d100,15000,8,4,4,off,asynchronous,1000,32,34.1637,10000,16806571,0,1227462,0,404625,292630,14747341,1227462,17001888,15579109,122
sandpile,./sandpile_sim-d100,15000,8,4,8,off,asynchronous,1000,32,35.9017,10000,17108149,0,1529040,0,495313,370203,18302682,1529040,17355422,15579109,117
sandpile,./sandpile_sim-d100,15000,8,4,12,off,asynchronous,1000,32,40.417,10000,17505921,0,1926812,0,561407,528229,23843257,1926812,17890270,15579109,108
sandpile,./sandpile_sim-d100,15000,8,4,16,off,asynchronous,1000,32,32.7652,10000,16929167,0,1350058,0,437032,329374,16199135,1350058,17148066,15579109,124
sandpile,./sandpile_sim-d100,15000,16,1,4,off,asynchronous,1000,32,49.5539,10000,15587244,0,8135,0,4235,2367,110888,8135,15588624,15579109,94
sandpile,./sandpile_sim-d100,15000,16,1,8,off,asynchronous,1000,32,50.2416,10000,15611283,0,32174,0,16040,4486,389563,32174,15608301,15579109,93
sandpile,./sandpile_sim-d100,15000,16,1,12,off,asynchronous,1000,32,48.704,10000,15610529,0,31420,0,15931,4155,360926,31420,15607478,15579109,95
sandpile,./sandpile_sim-d100,15000,16,1,16,off,asynchronous,1000,32,50.9998,10000,15608332,0,29223,0,15607,3794,363883,29223,15605197,15579109,92
sandpile,./sandpile_sim-d100,15000,32,1,4,off,asynchronous,1000,32,0.446978,10000,96781,0,22877,0,10509,9158,431597,22875,103278,73899,0
sandpile,./sandpile_sim-d100,15000,32,1,8,off,asynchronous,1000,32,0.0545784,10000,6529,0,1998,0,1194,1095,41319,1998,7703,4530,0
sandpile,./sandpile_sim-d100,15000,32,1,12,off,asynchronous,1000,32,0.0124877,10000,756,0,144,0,129,92,2775,144,901,611,0
sandpile,./sandpile_sim-d100,15000,32,1,16,off,asynchronous,1000,32,0.0414653,10000,4878,0,1640,0,943,943,27861,1640,5785,3233,0
sandpile,./sandpile_sim-d100,15000,64,1,4,off,asynchronous,1000,32,0.0039451,10000,195,0,33,0,30,23,410,33,225,157,0
sandpile,./sandpile_sim-d100,15000,64,1,8,off,asynchronous,1000,32,0.0407802,10000,1334,0,298,0,225,172,5531,297,1574,1035,0
sandpile,./sandpile_sim-d100,15000,64,1,12,off,asynchronous,1000,32,0.020135,10000,613,0,188,0,77,92,2013,176,703,424,0
sandpile,./sandpile_sim-d100,15000,64,1,16,off,asynchronous,1000,32,0.029587,10000,567,0,158,0,81,92,2032,148,623,404,0
sandpile,./sandpile_sim-d100,15000,16,2,4,off,asynchronous,1000,32,26.809,10000,16129069,0,549960,0,278347,133660,8383107,549960,16284240,15579109,142
sandpile,./sandpile_sim-d100,15000,16,2,8,off,asynchronous,1000,32,23.8131,10000,16095372,0,516263,0,249424,123817,7538647,516263,16223940,15579109,155
sandpile,./sandpile_sim-d100,15000,16,2,12,off,asynchronous,1000,32,26.4956,10000,16188849,0,609740,0,291380,150874,9019209,609740,16348808,15579109,143
sandpile,./sandpile_sim-d100,15000,16,2,16,off,asynchronous,1000,32,23.9267,10000,16117056,0,537947,0,269388,129784,7921890,537947,16258450,15579109,154
sandpile,./sandpile_sim-d100,15000,32,2,4,off,asynchronous,1000,32,28.6464,10000,16157448,0,578339,0,309394,139849,9207023,578339,16328088,15579109,128
sandpile,./sandpile_sim-d100,15000,32,2,8,off,asynchronous,1000,32,28.9796,10000,16243785,0,664676,0,338451,162715,10385638,664676,16430666,15579109,127
sandpile,./sandpile_sim-d100,15000,32,2,12,off,asynchronous,1000,32,29.4096,10000,16249883,0,670774,0,342377,163138,10561633,670774,16440518,15579109,118
sandpile,./sandpile_sim-d100,15000,32,2,16,off,asynchronous,1000,32,0.0573691,10000,10479,0,3345,0,1929,1815,66412,3345,12345,7129,0
sandpile,./sandpile_sim-d100,15000,64,2,4,off,asynchronous,1000,32,0.0402032,10000,2596,0,745,0,431,411,11348,742,2963,1850,0
sandpile,./sandpile_sim-d100,15000,64,2,8,off,asynchronous,1000,32,0.125756,10000,13508,0,6381,0,2534,3546,113661,6381,15420,7126,0
sandpile,./sandpile_sim-d100,15000,64,2,12,off,asynchronous,1000,32,0.015917,10000,628,0,211,0,81,108,2234,207,678,416,0
sandpile,./sandpile_sim-d100,15000,64,2,16,off,asynchronous,1000,32,0.0667676,10000,4658,0,1777,0,940,995,31770,1771,5573,2876,0
sandpile,./sandpile_sim-d100,15000,16,4,4,off,asynchronous,1000,32,35.0877,10000,17342953,0,1763844,0,543837,488797,22461439,1763844,17709722,15579109,118
sandpile,./sandpile_sim-d100,15000,16,4,8,off,asynchronous,1000,32,36.2672,10000,17920450,0,2341341,0,630848,670857,29046362,2341341,18388219,15579109,116
sandpile,./sandpile_sim-d100,15000,16,4,12,off,asynchronous,1000,32,33.593,10000,16788004,0,1208895,0,364929,312364,14245308,1208895,16976566,15579109,122
sandpile,./sandpile_sim-d100,15000,16,4,16,off,asynchronous,1000,32,35.9346,10000,17548830,0,1969721,0,579064,553350,24891011,1969721,17950632,15579109,115
sandpile,./sandpile_sim-d100,15000,32,4,4,off,asynchronous,1000,32,31.0016,10000,17182267,0,1603158,0,517203,421390,19955047,1603158,17443351,15579109,127
sandpile,./sandpile_sim-d100,15000,32,4,8,off,asynchronous,1000,32,31.5382,10000,17132330,0,1553221,0,494028,442138,19834268,1553221,17453341,15579109,124
sandpile,./sandpile_sim-d100,15000,32,4,12,off,asynchronous,1000,32,33.1218,10000,17250428,0,1671319,0,525787,461896,20962338,1671319,17563551,15579109,119
sandpile,./sandpile_sim-d100,15000,32,4,16,off,asynchronous,1000,32,31.1493,10000,17032242,0,1453133,0,497110,404622,18911147,1453133,17341036,15579109,124
sandpile,./sandpile_sim-d100,15000,64,4,4,off,asynchronous,1000,32,30.9506,10000,17039232,0,1460123,0,467180,496504,20371605,1460123,17296404,15579109,119
sandpile,./sandpile_sim-d100,15000,64,4,8,off,asynchronous,1000,32,31.0269,10000,17082757,0,1503648,0,489217,503395,20833280,1503648,17351077,15579109,122
